Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 225kV NO 1 BOUTRE-PLAN-D ORGON;82950;1062;1160;1160;1238;1,662;21,854;181,393;1154,781
LIT 225kV N0 1 BOUTRE-SAINTE-TULLE 1;13295;1144;1249;1249;1333;0,705;5,573;18,6;118,414
LIT 225kV N0 1 BOUTRE - TRANS;64661;1250;1250;1600;1600;1,02;10,4;2451;15603,551
LIT 400kV N0 1 BOUTRE - PRIONNET;8950;3192;3489;3489;3723;0,147;2,356;17,068;108,656
LIT 400kV N0 1 BRAUD - MARQUIS (LE);38018;2200;2300;2300;2400;0,921;11,921;73,526;468,08
LIT 400kV N0 1 BRAUD - PREGUILLAC;47291;3072;3414;3414;3598;0,994;14,43;89,859;572,057
LIT 400kV NO 2 BRAUD-CUBNEZAIS;31061;3072;3414;3414;3598;0,642;9,318;57,939;368,852
LIT 400kV NO 2 BRAUD-PREGUILLAC;47365;3072;3414;3414;3598;0,994;14,43;89,857;572,045
LIT 400kV N0 3 BRAUD - CUBNEZAIS;31831;3072;3414;3414;3598;0,673;9,771;60,758;386,795
LIT 400kV N0 4 BRAUD - CUBNEZAIS;31807;3072;3414;3414;3598;0,674;9,78;60,815;387,163
LIT 225kV N0 1 BRENS - PELISSIER;16576;831;984;984;1099;0,979;6,546;23,75;151,199
LIT 225kV N0 1 BRENS - VERFEIL;39187;831;984;984;1099;2,35;15,638;56,598;360,313
LIT 225kV NO 1 BRENNILIS-MARTYRE (LA);31072;1250;1312;1312;1375;1,762;12,128;44,681;284,449
LIT 225kV NO 1 BRENNILIS-PLEYBER-CHRIST;21445;1300;1350;1350;1400;1,297;8,601;31,297;199,244
LIT 225kV NO 1 BREUIL (LE)-GODIN;81146;629;756;756;844;7,28;32,935;113,528;722,743
LIT 225kV NO 1 BREUIL (LE)-MOLE (LA);19922;622;748;748;834;1,791;8,345;27,258;173,528
LIT 225kV NO 1 BREUIL (LE)-PEYRAT-LE-CHATEAU;71580;629;756;756;844;6,396;28,64;99,663;634,473
LIT 400kV N0 1 BREUIL (LE) - MARMAGNE;209132;1410;1632;1632;1806;9,503;71,427;350,819;2233,386
LIT 400kV N0 1 BREUIL (LE) - RUEYRES;65449;1120;1560;;1780;1,964;21,402;115,146;733,04
LIT 225kV NO 1 BRUGES-PESSAC;13884;655;655;760;760;0,828;5,538;21,295;135,568
LIT 225kV NO 1 BUIRE-PONT-SUR-SAMBRE;44040;1250;1250;1250;1250;2,641;17,72;63,208;402,398
LIT 225kV NO 1 BEAULIEU-FARRADIERE (LA);31532;632;890;890;1039;1,799;12,415;45,789;291,504
LIT 225kV NO 1 BEAULIEU-GRANZAY;54903;1249;1337;1337;1434;3,287;21,903;79,244;504,481
LIT 225kV N0 1 BEAULIEU-SIRMIERE;69365;1249;1337;1337;1432;4,007;27,335;100,456;639,524
LIT 225kV NO 1 BEAUREGARD (SAINT-LAURENT-NOUAN)-CHAINGY;20498;483;675;675;786;1,785;8,515;27,739;176,592
LIT 225kV NO 1 BEAUTOR (POSTE)-CAPELLE (LA);67287;439;606;606;770;5,758;27,284;94,723;603,023
LIT 225kV NO 1 BEAUTOR (POSTE)-LONG-CHAMP (LE);51911;731;835;835;930;4,258;20,966;72,876;463,941
LIT 225kV NO 1 BEAUTOR (POSTE)-LATENA;30447;1172;1285;1285;1388;1,75;12,011;44,348;282,326
LIT 225kV NO 1 BEAUTOR (POSTE)-SETIER;21161;899;984;984;1061;1,916;8,609;29,895;190,318
LIT 225kV NO 2 BEAUTOR (POSTE)-LATENA;31657;1400;1500;1500;1550;0,95;9,241;62,697;399,141
LIT 225kV NO 3 BEAUTOR (POSTE)-LATENA;31467;2200;2300;2300;2400;0,944;8,865;64,154;408,417
LIT 225kV N0 1 BOURGUIGNON - ETUPES;13832;791;853;853;934;1,431;5,598;19,462;123,897
LIT 225kV N0 1 BOURGUIGNON - MAMBELIN;11881;791;853;853;934;1,143;4,789;16,847;107,252
LIT 225kV NO 1 CROIX-DE-METZ-LANEUVEVILLE;39040;899;984;984;1061;2,836;15,641;55,9;355,868
LIT 225kV NO 1 CROIX-DE-METZ-VOID;32175;1172;1285;1285;1388;1,931;12,851;46,555;296,38
LIT 225kV NO 1 CHAMPS-REGNAUD-VIELMOULIN;30500;843;909;909;996;2,649;12,359;43,005;273,779
LIT 225kV NO 2 CHAMPS-REGNAUD-VIELMOULIN;33800;847;865;985;1060;2,005;13,363;52,861;336,523
LIT 225kV NO 1 CHATEAUNEUF-DU-RHONE-LOGIS-NEUF;30000;862;928;928;987;2,693;12,205;41,838;266,346
LIT 225kV N0 1 CHATEAUNEUF-DU-RHONE - TRICASTIN-POSTE (LE);21904;862;928;928;987;1,723;8,881;30,913;196,801
LIT 225kV NO 2 CHATEAUNEUF-DU-RHONE-LOGIS-NEUF;30035;862;928;928;987;2,742;12,439;46,105;293,511
