OBJECTID;ID;SYMBOLE;ACTEUR;MAJ;MAJ_GEO;TRACE;CONFIG;ETAT;U_MAX;ID_OBJECT;sub_num;ADR_LIT;IDR_LIT;start;u_code;circn;end;code_start;code_end
1484;77131704;+A11E6;CFP;1393581976000;1393581932000;1;A;E;6;77131704_1484;1;LIT 225kV NO 1 CORDEAC-SABL5 / CORDE CPNIE 1;CORDEL61ZSABL;CORDE;6;1;ZSABL;CORDE;
1516;78214895;+S-1E6;LCP;1453120337000;1437489364000;1;S;E;6;78214895_1516;1;LIT 225kV N0 4 RABATAU - CAIL5 / E.BOT RABAT 4;RABATL64ZCAI5;RABAT;6;4;ZCAI5;RABAT;
1531;76672433;+A11E6;CBP;1421077430000;1381148970000;1;A;E;6;76672433_1531;1;LIT 225kV N0 1 VINCEY - PIQUAGE LA MADELEINE;VINCEL61ZMAD6;VINCE;6;1;ZMAD6;VINCE;
1626;20000395;+A11E6;CBP;1420462412000;1276607393000;1;A;E;6;20000395_1626;1;LIT 225kV NO 1 VIGY - PIQUAGE GANDRANGE;VIGY L61ZGAN5;VIGY ;6;1;ZGAN5;VIGY ;
1638;10000373;+A22E64;CBP;1419851747000;1228471711000;1;A;E;6;10000373_1638;1;LIT 225kV N0 1 HAUT-VINAGE-HELLE / AVELI H.VIN 1;H.VINL61ZHEL5;H.VIN;6;1;ZHEL5;H.VIN;
1675;20003630;+A11E6;CBP;1421147975000;1381164582000;1;A;E;6;20003630_1675;1;LIT 225kV NO 1 ETIVAL - PIQUAGE ST-NABORD;ETIVAL61ZSSNA;ETIVA;6;1;ZSSNA;ETIVA;
1704;76813888;+A11E6;JUL;1416247010000;1457976545000;1;A;E;6;76813888_1704;1;LIT 225kV N0 1 MUREMONT - PIQUAGE A GERBECOURT ET HAPLEMONT;MUREML61ZG.HA;MUREM;6;1;ZG.HA;MUREM;
2002;60003942;+A11E6;CBP;1421059430000;1297848198000;1;A;E;6;60003942_2002;1;LIT 225kV NO 2 CHEVIRE - PIQUAGE A KERLAN;CHEV5L62ZKERL;CHEV5;6;2;ZKERL;CHEV5;
2216;70348301;+A11E6;CBP;1413807159000;1311949885000;1;A;E;6;70348301_2216;1;LIT 225kV NO 1 GROS-CAILLOU-TRIT5 / G.CAI TRITH 1;G.CAIL61ZTRIT;G.CAI;6;1;ZTRIT;G.CAI;
2246;70003896;+A11E6;CBP;1411648189000;1295952453000;1;A;E;6;70003896_2246;1;LIT 225kV NO 2 PLESSIS-GASSOT - PIQUAGE BRICHE A SAINT-DENIS (ZBRI5);P.GASL62ZBRI5;P.GAS;6;2;ZBRI5;P.GAS;
2395;77174288;+S-1E6;CA;1394118502000;1394118196000;1;S;E;6;77174288_2395;1;LIT 225kV NO 1 LIESSE - PIQUAGE A SAINT-OUEN-L AUMONE (ZLIE5);LIESSL61ZLIE5;LIESS;6;1;ZLIE5;LIESS;
2433;75391389;+S-1E6;CBP;1415978351000;1334231628000;1;S;E;6;75391389_2433;1;LIT 225kV N0 1 PETIT-BOIS (LE) - PIQUAGE A LINAS (PRINCIPAL);P.BOIL61ZLINA;P.BOI;6;1;ZLINA;P.BOI;
2454;74470833;+A22E66;CBP;1409670013000;1169131910000;1;A;E;6;74470833_2454;1;LIT 225kV NO 1 BEAUMONT-MONTEUX-CPBLA / B.MON GAMPA 1;B.MONL61ZCPB5;B.MON;6;1;ZCPB5;B.MON;
2480;77849328;+A11E6;JUL;1457623163000;1301915580000;1;A;E;6;77849328_2480;1;LIT 225kV NO 2 SQUIVIDAN - PIQUAGE A TREFLEVENEZ;SQUIVL62ZTREF;SQUIV;6;2;ZTREF;SQUIV;
